vagyok,<img src=" "></img><br>bin → sein
Jó napot! (svájci),<img src=" "></img><br>Grüezi!
Jó napot!,<img src=" "></img><br>Guten Tag!
Heló!,<img src=" "></img><br>Hallo!
én,<img src=" "></img><br>ich
van,<img src=" "></img><br>sein
Szervusz!,<img src=" "></img><br>Servus!
Tessék?,<img src=" "></img><br>Wie bitte?
Viszontlátásra!,<img src=" "></img><br>Auf Wiedersehen!
asszony,<img src=" "></img><br>Frau...
úr,<img src=" "></img><br>Herr
Szia!,<img src=" "></img><br>Tschüss!
Jó éjszakát!,<img src=" "></img><br>Gute Nacht!
Jó estét!,<img src=" "></img><br>Guten Abend!
Jó reggelt!,<img src=" "></img><br>Guten Morgen!
te,<img src=" "></img><br>du
hívják,<img src=" "></img><br>heißen
ki,<img src=" "></img><br>wer
hogy,<img src=" "></img><br>wie
is,<img src=" "></img><br>auch
Köszönöm!,<img src=" "></img><br>Danke!
megvagyok,<img src=" "></img><br>es geht
jó,<img src=" "></img><br>gut
rossz,<img src=" "></img><br>schlecht
nagyon,<img src=" "></img><br>sehr
Hogy vagy?,<img src=" "></img><br>Wie geht's?
prima,<img src=" "></img><br>prima
