paprika	, <img src="https://media.istockphoto.com/id/1993983214/hu/fot%C3%B3/colorful-pepper.jpg"></img><br>die Paprika
káposzta	, <img src="https://media.istockphoto.com/id/477419224/hu/fot%C3%B3/friss-k%C3%A1poszta-keresztmetszet-v%C3%ADzcseppekkel.jpg"></img><br>der Kohl
alma	, <img src="https://media.istockphoto.com/id/185262648/hu/fot%C3%B3/v%C3%B6r%C3%B6s-alma-feh%C3%A9r-alapon-izol%C3%A1lt-lev%C3%A9llel.jpg"></img><br>der Apfel
banán	, <img src="https://media.istockphoto.com/id/173242750/hu/fot%C3%B3/ban%C3%A1n-csokor.jpg"></img><br>die Banane
narancs	, <img src="https://media.istockphoto.com/id/672613170/hu/fot%C3%B3/feh%C3%A9rre-izol%C3%A1lt-narancss%C3%A1rga-szeletek.jpg"></img><br>die Orange
citrom	, <img src="https://media.istockphoto.com/id/2093089211/hu/fot%C3%B3/s%C3%A1rga-citromszeletek-csoportja-egy-v%C3%A1g%C3%B3deszk%C3%A1n-egy-sz%C3%BCrke-asztalon.jpg"></img><br>die Zitrone
eper	, <img src="https://media.istockphoto.com/id/1412854156/hu/fot%C3%B3/a-szam%C3%B3ca-izol%C3%A1lt-eper-eg%C3%A9sz-%C3%A9s-f%C3%A9l-feh%C3%A9r-alapon-eper-szelet-v%C3%A1g%C3%B3g%C3%B6rb%C3%A9vel-teljes-m%C3%A9lys%C3%A9g%C3%A9less%C3%A9g.jpg"></img><br>die Erdbeere
szőlő	, <img src="https://media.istockphoto.com/id/1200996361/hu/fot%C3%B3/egy-csom%C3%B3-bio-sz%C5%91l%C5%91.jpg"></img><br>die Traube
dinnye	, <img src="https://media.istockphoto.com/id/530827430/hu/fot%C3%B3/fah%C3%A1tra-szeletelt-g%C3%B6r%C3%B6gdinnye.jpg"></img><br>die Melone
barack	, <img src="https://media.istockphoto.com/id/1200767905/hu/fot%C3%B3/%C5%91szibarack-izol%C3%A1tum-%C5%91szibarack-szelettel-feh%C3%A9r-alapon-teljes-m%C3%A9lys%C3%A9g%C3%A9less%C3%A9g-v%C3%A1g%C3%B3%C3%BAttal.jpg"></img><br>der Pfirsich
cseresznye	, <img src="https://media.istockphoto.com/id/2164032631/hu/fot%C3%B3/cherry-background.jpg"></img><br>die Kirsche
meggy	, <img src="https://media.istockphoto.com/id/181099124/hu/fot%C3%B3/egy-halom-cseresznye-levelek-csatolva.jpg"></img><br>die Sauerkirsche
körte	, <img src="https://media.istockphoto.com/id/164142758/hu/fot%C3%B3/egy-k%C3%B6rte.jpg"></img><br>die Birne
szilva	, <img src="https://media.istockphoto.com/id/157682002/hu/fot%C3%B3/k%C3%A9t-eg%C3%A9sz-%C3%A9s-egy-szeletelt-szilva-h%C3%BAssal-%C3%A9s-g%C3%B6d%C3%B6rrel.jpg"></img><br>die Pflaume
málna	, <img src="https://media.istockphoto.com/id/184611142/hu/fot%C3%B3/egy-csom%C3%B3-m%C3%A1lna-feh%C3%A9r-alapon.jpg"></img><br>die Himbeere
áfonya	, <img src="https://media.istockphoto.com/id/2220554355/hu/fot%C3%B3/pen%C3%A9szes-%C3%A1fonya-k%C3%A9pe-penicillium-gomb%C3%A1t-romlott-eg%C3%A9szs%C3%A9gtelen-%C3%A9telt-%C3%A1br%C3%A1zolva-kiemelve-az.jpg"></img><br>die Heidelbeere
kávé	, <img src="https://media.istockphoto.com/id/1349239413/hu/fot%C3%B3/k%C3%A1v%C3%A9bab-%C3%A9s-egy-cs%C3%A9sze-fekete-k%C3%A1v%C3%A9-egy-f%C3%A1b%C3%B3l-k%C3%A9sz%C3%BClt-asztalon.jpg"></img><br>der Kaffee
tea	, <img src="https://media.istockphoto.com/id/184948797/hu/fot%C3%B3/z%C3%B6ld-tea.jpg"></img><br>der Tee
víz	, <img src="https://media.istockphoto.com/id/2175405600/hu/fot%C3%B3/tov%C3%A1bbi-h%C3%ADrad%C3%A1sok-pfas-r%C3%B3l-a-csapv%C3%ADzben.jpg"></img><br>das Wasser
üdítő	, <img src="https://media.istockphoto.com/id/655281552/hu/fot%C3%B3/friss%C3%ADt%C5%91-ny%C3%A1ri-ital-citrommal-%C3%A9s-ubork%C3%A1val-a-k%C5%91-h%C3%A1tter%C3%A9ben-a-veget%C3%A1ri%C3%A1nusok-a-friss-vitaminok-a.jpg"></img><br>die Limonade
lé	, <img src="https://media.istockphoto.com/id/155376375/hu/fot%C3%B3/gy%C3%BCm%C3%B6lcsl%C3%A9.jpg"></img><br>der Saft
sör	, <img src="https://media.istockphoto.com/id/1155677639/hu/fot%C3%B3/frissen-%C3%B6nt%C3%B6tt-huzat-lager-s%C3%B6r-egy-g%C3%B6dr%C3%B6csk%C3%A9s-%C3%BCveg-b%C3%B6gre-rozsdamentes-ac%C3%A9l-pult-egy-modern.jpg"></img><br>das Bier
bor	, <img src="https://media.istockphoto.com/id/2171578654/hu/fot%C3%B3/v%C3%B6r%C3%B6sbor-%C3%B6nt%C3%A9se-a-pinc%C3%A9ben-l%C3%A9v%C5%91-poh%C3%A1rba.jpg"></img><br>der Wein
pálinka	, <img src="https://media.istockphoto.com/id/179350080/hu/fot%C3%B3/%C3%BCveg-mrabelle-gy%C3%BCm%C3%B6lcsp%C3%A1linka-mirabellenschnaps-obstler.jpg"></img><br>der Schnaps
pezsgő	, <img src="https://media.istockphoto.com/id/1330424031/hu/fot%C3%B3/brut%C3%A1lis-%C3%A9s-demi-sec-feh%C3%A9r-pezsg%C5%91-pezsg%C5%91-k%C3%B3stol%C3%A1sa-k%C3%BCl%C3%B6nleges-fuvolapoharakb%C3%B3l-pezsg%C5%91s.jpg"></img><br>der Sekt
ital	, <img src="https://media.istockphoto.com/id/1067202868/hu/fot%C3%B3/aperol-kokt%C3%A9l-ital.jpg"></img><br>das Getränk
étel	, <img src="https://media.istockphoto.com/id/1159204281/hu/fot%C3%B3/eg%C3%A9szs%C3%A9ges-t%C3%A1pl%C3%A1lkoz%C3%A1s-a-kiegyens%C3%BAlyozott-flexit%C3%A1ri%C3%A1nus-mediterr%C3%A1n-%C3%A9trend-koncepci%C3%B3j%C3%A1hoz.jpg"></img><br>das Essen
reggeli	, <img src="https://media.istockphoto.com/id/863444442/hu/fot%C3%B3/finom-reggeli-egy-k%C3%B6nny%C5%B1-asztalon.jpg"></img><br>das Frühstück
ebéd	, <img src="https://media.istockphoto.com/id/1138234731/hu/fot%C3%B3/iskolai-eg%C3%A9szs%C3%A9ges-uzsonn%C3%A1s-doboz-szendvicsekkel-s%C3%BCtikkel-gy%C3%BCm%C3%B6lcs%C3%B6kkel-%C3%A9s-avok%C3%A1d%C3%B3val-feh%C3%A9r.jpg"></img><br>das Mittagessen
vacsora	, <img src="https://media.istockphoto.com/id/863577920/hu/fot%C3%B3/d%C3%ADsz%C3%ADtett-%C3%A9tkez%C5%91-tabletta-szenteste.jpg"></img><br>das Abendessen
uzsonna	, <img src="https://media.istockphoto.com/id/2159868084/hu/fot%C3%B3/school-kids-eating-healthy-food-from-packed-lunch-boxes-children-at-table-in-cafeteria-pupils.jpg"></img><br>der Imbiss
menü	, <img src="https://media.istockphoto.com/id/1284977814/hu/fot%C3%B3/tapas-men%C3%BC.jpg"></img><br>die Speisekarte
recept	, <img src="https://media.istockphoto.com/id/1375039697/hu/fot%C3%B3/eg%C3%A9szs%C3%A9ges-gy%C3%BCm%C3%B6lcs%C3%B6k-%C3%A9s-z%C3%B6lds%C3%A9gek-sal%C3%A1ta-recept.jpg"></img><br>das Rezept
bolt	, <img src="https://media.istockphoto.com/id/472485878/hu/fot%C3%B3/r%C3%A9szlet-egy-f%C3%A9rfi-bev%C3%A1s%C3%A1rl%C3%B3-szupermarketben.jpg"></img><br>der Laden
piac	, <img src="https://media.istockphoto.com/id/1147569801/hu/fot%C3%B3/p%C3%A1r-bolt-a-szabadt%C3%A9ri-ny%C3%A1ri-gy%C3%BCm%C3%B6lcspiacon.jpg"></img><br>der Markt
árus	, <img src="https://media.istockphoto.com/id/2178738401/hu/fot%C3%B3/seller-man-taking-cash-from-customer.jpg"></img><br>der Verkäufer
vásárló	, <img src="https://media.istockphoto.com/id/2096322902/hu/fot%C3%B3/millennial-generation-woman-shopping-at-grocery-store-with-reusable-bag.jpg"></img><br>der Käufer
pénztár	, <img src="https://media.istockphoto.com/id/2186872091/hu/fot%C3%B3/p%C3%A9nzt%C3%A1ros-beolvassa-az-%C3%A9lelmiszereket-a-szupermarket-p%C3%A9nzt%C3%A1r%C3%A1n%C3%A1l.jpg"></img><br>die Kasse
kosár	, <img src="https://media.istockphoto.com/id/538720927/hu/vektor/fonott-kos%C3%A1r.jpg"></img><br>der Korb
zacskó	, <img src="https://media.istockphoto.com/id/1157896110/hu/fot%C3%B3/m%C5%B1anyag-zacsk%C3%B3k-h%C3%A1ttere-k%C3%B6rnyezeti-vesz%C3%A9ly.jpg"></img><br>die Tüte
doboz	, <img src="https://media.istockphoto.com/id/183027527/hu/fot%C3%B3/kartondobozok.jpg"></img><br>die Dose
üveg	, <img src="https://media.istockphoto.com/id/1633892576/hu/fot%C3%B3/kiv%C3%A1gott-k%C3%A9p-egy-%C3%A1zsiai-n%C5%91-kez%C3%A9r%C5%91l-amint-%C3%BCres-%C3%BCveged%C3%A9nyeket-helyez-egy-fadobozba-k%C3%A9szen-%C3%A1ll-az.jpg"></img><br>die Flasche
csomag	, <img src="https://media.istockphoto.com/id/171363308/hu/fot%C3%B3/kis-fa-pint-doboz-friss-szam%C3%B3ca.jpg"></img><br>die Packung
kilogramm	, <img src="https://media.istockphoto.com/id/1126796002/hu/vektor/s%C3%BAly-kilogramm-ikon-feh%C3%A9r-alapon.jpg"></img><br>das Kilogramm
gramm	, <img src=" "></img><br>das Gramm
liter	, <img src=" "></img><br>der Liter
deka	, <img src=" "></img><br>das Deka
darab	, <img src=" "></img><br>das Stück
szelet	, <img src=" "></img><br>die Scheibe
kóstol	, <img src="https://media.istockphoto.com/id/1139567467/hu/fot%C3%B3/anya-a-telefonban-f%C5%91z%C3%A9s.jpg"></img><br>kosten
fizet	, <img src="https://media.istockphoto.com/id/175262421/hu/fot%C3%B3/k%C3%A1v%C3%A9z%C3%B3-v%C3%A1s%C3%A1rl%C3%B3.jpg"></img><br>bezahlen
venni	, <img src=" "></img><br>kaufen
